Year,Monthly_Average
1970,325.6816666666667
1971,326.32
1972,327.45666666666665
1973,329.6816666666667
1974,330.1933333333333
1975,331.12583333333333
1976,332.0258333333333
1977,333.8441666666667
1978,335.415
1979,336.835
1980,338.7625
1981,340.1191666666667
1982,341.4783333333333
1983,343.1525
1984,344.86833333333334
1985,346.3516666666667
1986,347.6075
1987,349.31166666666667
1988,351.69083333333333
1989,353.205
1990,354.45250000000004
1991,355.70416666666665
1992,356.54583333333335
1993,357.215
1994,358.9591666666667
1995,360.9683333333333
1996,362.74333333333334
1997,363.8766666666666
1998,366.84
1999,368.53999999999996
2000,369.7075
2001,371.31916666666666
2002,373.45250000000004
2003,375.98333333333335
2004,377.6983333333333
2005,379.98333333333335
2006,382.09083333333336
2007,384.02500000000003
2008,385.83166666666665
2009,387.6425
2010,390.1016666666667
2011,391.85083333333336
2012,394.05583333333334
2013,396.7375
2014,398.8125
2015,401.0125
2016,404.41249999999997
2017,406.7583333333334
2018,408.715
2019,411.64916666666664
2020,414.21250000000003
2021,416.4141666666667
2022,418.52833333333336
2023,421.0758333333333
