Year,No_Smoothing,Lowess_5
1970,0.03,-0.0
1971,-0.08,0.0
1972,0.01,0.0
1973,0.16,-0.0
1974,-0.07,0.01
1975,-0.01,0.02
1976,-0.1,0.04
1977,0.18,0.07
1978,0.07,0.12
1979,0.16,0.16
1980,0.26,0.2
1981,0.32,0.21
1982,0.14,0.22
1983,0.31,0.21
1984,0.16,0.21
1985,0.12,0.22
1986,0.18,0.24
1987,0.32,0.27
1988,0.39,0.31
1989,0.27,0.33
1990,0.45,0.33
1991,0.4,0.33
1992,0.22,0.33
1993,0.23,0.33
1994,0.31,0.34
1995,0.45,0.37
1996,0.33,0.4
1997,0.47,0.42
1998,0.61,0.45
1999,0.38,0.47
2000,0.39,0.5
2001,0.54,0.52
2002,0.63,0.55
2003,0.62,0.58
2004,0.53,0.61
2005,0.68,0.62
2006,0.64,0.62
2007,0.66,0.63
2008,0.54,0.64
2009,0.66,0.64
2010,0.73,0.65
2011,0.61,0.67
2012,0.65,0.7
2013,0.68,0.74
2014,0.75,0.79
2015,0.9,0.83
2016,1.02,0.88
2017,0.92,0.91
2018,0.85,0.93
2019,0.98,0.93
2020,1.01,0.95
2021,0.85,0.97
2022,0.89,0.99
2023,1.17,1.01
